,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
94,s0e334,0.0,2505.0,20,0,M20,4348.4236663588,1860.1624745608096,-3150.0,9903.780350046793,2025.1200387708736,2550.0,VISpl5
95,s0e335,32.0,2505.0,20,0,M20,4348.4236663588,1860.1624745608096,-3150.0,9903.780350046793,2025.1200387708736,2550.0,VISpl5
96,s0e48,0.0,360.0,20,0,M20,4127.040591042975,3993.7075371183614,-3150.0,9880.422867588459,4297.358474214738,2550.0,ENTm1
97,s0e49,32.0,360.0,20,0,M20,4127.040591042975,3993.7075371183614,-3150.0,9880.422867588459,4297.358474214738,2550.0,ENTm1
98,s0e50,0.0,375.0,20,0,M20,4128.588724436792,3978.787641576001,-3150.0,9880.586206626627,4281.4686949459,2550.0,ENTm1
99,s0e51,32.0,375.0,20,0,M20,4128.588724436792,3978.787641576001,-3150.0,9880.586206626627,4281.4686949459,2550.0,ENTm1
100,s0e52,0.0,390.0,20,0,M20,4130.136857830609,3963.8677460336407,-3150.0,9880.749545664798,4265.5789156770625,2550.0,ENTm1
101,s0e53,32.0,390.0,20,0,M20,4130.136857830609,3963.8677460336407,-3150.0,9880.749545664798,4265.5789156770625,2550.0,ENTm1
102,s0e54,0.0,405.0,20,0,M20,4131.684991224426,3948.94785049128,-3150.0,9880.912884702968,4249.689136408223,2550.0,ENTm1
103,s0e55,32.0,405.0,20,0,M20,4131.684991224426,3948.94785049128,-3150.0,9880.912884702968,4249.689136408223,2550.0,ENTm1
104,s0e56,0.0,420.0,20,0,M20,4133.233124618243,3934.0279549489196,-3150.0,9881.076223741138,4233.799357139386,2550.0,ENTm1
105,s0e57,32.0,420.0,20,0,M20,4133.233124618243,3934.0279549489196,-3150.0,9881.076223741138,4233.799357139386,2550.0,ENTm1
106,s0e58,0.0,435.0,20,0,M20,4134.78125801206,3919.1080594065593,-3150.0,9881.239562779308,4217.909577870547,2550.0,ENTm1
107,s0e59,32.0,435.0,20,0,M20,4134.78125801206,3919.1080594065593,-3150.0,9881.239562779308,4217.909577870547,2550.0,ENTm1
108,s0e60,0.0,450.0,20,0,M20,4136.329391405877,3904.1881638641985,-3150.0,9881.402901817477,4202.019798601709,2550.0,ENTm1
109,s0e61,32.0,450.0,20,0,M20,4136.329391405877,3904.1881638641985,-3150.0,9881.402901817477,4202.019798601709,2550.0,ENTm1
110,s0e62,0.0,465.0,20,0,M20,4137.877524799694,3889.268268321838,-3150.0,9881.566240855649,4186.13001933287,2550.0,ENTm1
